category,state_ut_city,deaths_nature,deaths_unnatural,deaths_others,deaths_total,population_lakh,death_rate,year
State,ANDHRA PRADESH,771,15320,1321,771,513.4,33.9,2015
State,ARUNACHAL PRADESH,27,319,23,27,13.0,28.3,2015
State,ASSAM,236,3910,185,236,322.0,13.5,2015
State,BIHAR,417,9470,481,417,1031.4,10.1,2015
State,CHHATTISGARH,261,14333,4679,261,256.6,75.1,2015
State,GOA,0,746,54,0,19.7,40.7,2015
State,GUJARAT,250,22127,6091,250,623.3,45.7,2015
State,HARYANA,619,10408,2246,619,272.2,48.8,2015
State,HIMACHAL PRADESH,283,2449,638,283,70.6,47.8,2015
State,JAMMU & KASHMIR,387,1284,241,387,123.4,15.5,2015
State,JHARKHAND,342,4819,576,342,333.5,17.2,2015
State,KARNATAKA,143,20065,6196,143,619.9,42.6,2015
State,KERALA,40,8635,2810,40,355.5,32.3,2015
State,MADHYA PRADESH,648,30513,9468,648,771.3,52.7,2015
State,MAHARASHTRA,450,51435,12681,450,1191.4,54.2,2015
State,MANIPUR,0,240,46,0,25.7,11.1,2015
State,MEGHALAYA,19,369,33,19,27.5,15.3,2015
State,MIZORAM,2,153,28,2,10.6,17.3,2015
State,NAGALAND,0,84,4,0,23.6,3.7,2015
State,ODISHA,954,9887,1746,954,422.5,29.8,2015
State,PUNJAB,238,8471,1715,238,289.4,36.0,2015
State,RAJASTHAN,196,23134,4988,196,723.1,39.2,2015
State,SIKKIM,10,183,17,10,6.4,32.7,2015
State,TAMIL NADU,362,28624,4679,362,691.6,48.7,2015
State,TELANGANA,246,13225,1138,246,365.6,40.0,2015
State,TRIPURA,4,399,147,4,38.0,14.5,2015
State,UTTAR PRADESH,2383,32636,1963,2383,2158.4,17.1,2015
State,UTTARAKHAND,186,2134,428,186,105.4,26.1,2015
State,WEST BENGAL,291,13601,1260,291,930.0,16.3,2015
State,ANDHRA PRADESH,426,,,426,517.4,34.4,2016
State,ARUNACHAL PRADESH,47,,,47,13.2,34.5,2016
State,ASSAM,544,,,544,325.8,16.9,2016
State,BIHAR,1057,,,1057,1043.0,10.1,2016
State,CHHATTISGARH,305,,,305,259.9,69.7,2016
State,GOA,0,,,0,19.9,38.6,2016
State,GUJARAT,127,,,127,630.8,43.5,2016
State,HARYANA,604,,,604,276.1,54.3,2016
State,HIMACHAL PRADESH,84,,,84,71.2,47.2,2016
State,JAMMU & KASHMIR,280,,,280,124.6,14.2,2016
State,JHARKHAND,757,,,757,338.0,19.3,2016
State,KARNATAKA,96,,,96,625.7,41.9,2016
State,KERALA,29,,,29,357.5,33.6,2016
State,MADHYA PRADESH,899,,,899,782.6,53.7,2016
State,MAHARASHTRA,482,,,482,1205.5,57.3,2016
State,MANIPUR,0,,,0,26.0,11.0,2016
State,MEGHALAYA,18,,,18,27.8,15.1,2016
State,MIZORAM,11,,,11,10.7,19.0,2016
State,NAGALAND,0,,,0,23.9,3.3,2016
State,ODISHA,467,,,467,425.9,28.9,2016
State,PUNJAB,298,,,298,292.0,37.7,2016
State,RAJASTHAN,195,,,195,732.8,38.8,2016
State,SIKKIM,5,,,5,6.5,44.6,2016
State,TAMIL NADU,48,,,48,695.2,47.5,2016
State,TELANGANA,292,,,292,368.5,36.9,2016
State,TRIPURA,21,,,21,38.4,19.8,2016
State,UTTAR PRADESH,1307,,,1307,2192.4,15.5,2016
State,UTTARAKHAND,54,,,54,106.8,15.3,2016
State,WEST BENGAL,220,,,220,938.3,18.3,2016
State,ANDHRA PRADESH,346,,,346,517.5,33.3,2017
State,ARUNACHAL PRADESH,29,,,29,14.8,15.7,2017
State,ASSAM,99,,,99,336.7,14.2,2017
State,BIHAR,1089,,,1089,1165.5,10.1,2017
State,CHHATTISGARH,353,,,353,280.8,64.5,2017
State,GOA,0,,,0,15.2,55.5,2017
State,GUJARAT,205,,,205,663.9,37.0,2017
State,HARYANA,161,,,161,280.0,54.4,2017
State,HIMACHAL PRADESH,167,,,167,72.2,45.0,2017
State,JAMMU & KASHMIR,127,,,127,133.2,10.2,2017
State,JHARKHAND,319,,,319,365.1,16.7,2017
State,KARNATAKA,122,,,122,649.3,36.4,2017
State,KERALA,143,,,143,348.2,33.9,2017
State,MADHYA PRADESH,583,,,583,803.3,50.6,2017
State,MAHARASHTRA,478,,,478,1202.5,53.8,2017
State,MANIPUR,5,,,5,30.5,9.1,2017
State,MEGHALAYA,32,,,32,11.7,40.8,2017
State,MIZORAM,2,,,2,31.7,6.8,2017
State,NAGALAND,1,,,1,21.1,4.0,2017
State,ODISHA,931,,,931,433.7,33.0,2017
State,PUNJAB,154,,,154,294.6,33.4,2017
State,RAJASTHAN,198,,,198,755.8,36.8,2017
State,SIKKIM,13,,,13,6.5,45.2,2017
State,TAMIL NADU,94,,,94,751.1,37.4,2017
State,TELANGANA,259,,,259,367.8,31.4,2017
State,TRIPURA,28,,,28,39.2,18.9,2017
State,UTTAR PRADESH,897,,,897,2200.4,15.8,2017
State,UTTARAKHAND,64,,,64,109.3,14.5,2017
State,WEST BENGAL,240,,,240,958.9,15.8,2017
State,ANDHRA PRADESH,210,,,210,520.3,32.3,2018
State,ARUNACHAL PRADESH,35,,,35,14.9,22.8,2018
State,ASSAM,225,,,225,340.4,15.4,2018
State,BIHAR,1082,,,1082,1183.3,10.7,2018
State,CHHATTISGARH,238,,,238,284.7,66.2,2018
State,GOA,0,,,0,15.3,48.2,2018
State,GUJARAT,61,,,61,673.2,36.7,2018
State,HARYANA,182,,,182,284.0,54.8,2018
State,HIMACHAL PRADESH,61,,,61,72.7,39.4,2018
State,JAMMU & KASHMIR,131,,,131,134.3,11.3,2018
State,JHARKHAND,395,,,395,370.5,17.8,2018
State,KARNATAKA,164,,,164,654.5,38.2,2018
State,KERALA,295,,,295,350.0,35.2,2018
State,MADHYA PRADESH,472,,,472,814.7,51.7,2018
State,MAHARASHTRA,383,,,383,1213.9,56.7,2018
State,MANIPUR,15,,,15,30.8,9.7,2018
State,MEGHALAYA,19,,,19,11.8,38.9,2018
State,MIZORAM,6,,,6,32.0,5.8,2018
State,NAGALAND,2,,,2,21.3,4.0,2018
State,ODISHA,1196,,,1196,435.5,41.9,2018
State,PUNJAB,126,,,126,297.0,34.8,2018
State,RAJASTHAN,114,,,114,765.9,37.0,2018
State,SIKKIM,4,,,4,6.6,42.3,2018
State,TAMIL NADU,179,,,179,754.6,32.6,2018
State,TELANGANA,175,,,175,370.3,29.8,2018
State,TRIPURA,25,,,25,39.6,18.0,2018
State,UTTAR PRADESH,752,,,752,2230.0,16.9,2018
State,UTTARAKHAND,69,,,69,110.6,17.4,2018
State,WEST BENGAL,275,,,275,965.0,17.0,2018
State,ANDHRA PRADESH,257,,,17938,523.2,34.3,2019
State,ARUNACHAL PRADESH,7,,,275,15.1,18.2,2019
State,ASSAM,136,,,5436,344.2,15.8,2019
State,BIHAR,1521,,,15211,1201.1,12.7,2019
State,CHHATTISGARH,254,,,19789,288.5,68.6,2019
State,GOA,3,,,795,15.4,51.5,2019
State,GUJARAT,140,,,23910,682.5,35.0,2019
State,HARYANA,134,,,15639,288.1,54.3,2019
State,HIMACHAL PRADESH,39,,,3256,73.2,44.5,2019
State,JAMMU & KASHMIR,63,,,1451,135.3,10.7,2019
State,JHARKHAND,556,,,7703,375.8,20.5,2019
State,KARNATAKA,169,,,25451,659.7,38.6,2019
State,KERALA,140,,,13763,351.9,39.1,2019
State,MADHYA PRADESH,627,,,42431,826.1,51.4,2019
State,MAHARASHTRA,573,,,70329,1225.3,57.4,2019
State,MANIPUR,5,,,309,31.1,9.9,2019
State,MEGHALAYA,12,,,476,32.3,14.7,2019
State,MIZORAM,4,,,171,12.0,14.3,2019
State,NAGALAND,0,,,63,21.6,2.9,2019
State,ODISHA,1466,,,16459,437.3,37.6,2019
State,PUNJAB,240,,,11048,299.4,36.9,2019
State,RAJASTHAN,210,,,28697,776.0,37.0,2019
State,SIKKIM,6,,,295,6.7,44.4,2019
State,TAMIL NADU,70,,,22404,758.1,29.6,2019
State,TELANGANA,252,,,11720,372.8,31.4,2019
State,TRIPURA,20,,,707,40.0,17.7,2019
State,UTTAR PRADESH,792,,,40596,2259.7,18.0,2019
State,UTTARAKHAND,68,,,1886,111.8,16.9,2019
State,WEST BENGAL,376,,,15985,971.1,16.5,2019
State,ANDHRA PRADESH,164,,,164,526.0,27.9,2020
State,ARUNACHAL PRADESH,36,,,36,15.2,23.3,2020
State,ASSAM,50,,,50,347.9,14.1,2020
State,BIHAR,1437,,,1437,1219.0,11.9,2020
State,CHHATTISGARH,270,,,270,292.4,68.6,2020
State,GOA,3,,,3,15.5,39.4,2020
State,GUJARAT,155,,,155,691.7,30.1,2020
State,HARYANA,74,,,74,292.1,50.8,2020
State,HIMACHAL PRADESH,54,,,54,73.6,37.4,2020
State,JHARKHAND,475,,,475,381.2,18.1,2020
State,KARNATAKA,137,,,137,665.0,36.7,2020
State,KERALA,78,,,78,353.7,36.7,2020
State,MADHYA PRADESH,561,,,561,837.6,48.4,2020
State,MAHARASHTRA,459,,,459,1236.8,46.7,2020
State,MANIPUR,0,,,0,31.4,9.2,2020
State,MEGHALAYA,22,,,22,32.6,15.1,2020
State,MIZORAM,4,,,4,12.1,16.1,2020
State,NAGALAND,12,,,12,21.8,3.4,2020
State,ODISHA,1428,,,1428,454.7,41.5,2020
State,PUNJAB,325,,,325,301.8,31.7,2020
State,RAJASTHAN,127,,,127,786.1,28.5,2020
State,SIKKIM,19,,,19,6.7,44.6,2020
State,TAMIL NADU,71,,,71,761.7,24.1,2020
State,TELANGANA,170,,,170,375.4,31.5,2020
State,TRIPURA,10,,,10,40.4,17.2,2020
State,UTTAR PRADESH,525,,,525,2289.3,13.8,2020
State,UTTARAKHAND,73,,,73,113.1,14.7,2020
State,WEST BENGAL,599,,,599,977.2,15.1,2020
State,ANDHRA PRADESH,162,,,16044,528.5,30.4,2021
State,ARUNACHAL PRADESH,12,,,391,15.4,25.4,2021
State,ASSAM,27,,,4524,351.6,12.9,2021
State,BIHAR,830,,,15405,1237.0,12.5,2021
State,CHHATTISGARH,244,,,17525,296.1,59.2,2021
State,GOA,3,,,596,15.6,38.2,2021
State,GUJARAT,125,,,22052,700.8,31.5,2021
State,HARYANA,55,,,15492,296.0,52.3,2021
State,HIMACHAL PRADESH,134,,,3003,74.1,40.5,2021
State,JHARKHAND,410,,,7369,386.4,19.1,2021
State,KARNATAKA,154,,,25278,669.9,37.7,2021
State,KERALA,45,,,13886,355.4,39.1,2021
State,MADHYA PRADESH,680,,,40510,848.6,47.7,2021
State,MAHARASHTRA,761,,,58242,1247.6,46.7,2021
State,MANIPUR,1,,,277,31.7,8.7,2021
State,MEGHALAYA,16,,,566,33.0,17.2,2021
State,MIZORAM,2,,,232,12.2,19.0,2021
State,NAGALAND,1,,,73,22.0,3.3,2021
State,ODISHA,1746,,,19663,457.9,42.9,2021
State,PUNJAB,253,,,10445,304.0,34.4,2021
State,RAJASTHAN,164,,,23197,795.7,29.2,2021
State,SIKKIM,8,,,233,6.8,34.3,2021
State,TAMIL NADU,130,,,28286,764.8,37.0,2021
State,TELANGANA,112,,,13097,377.7,34.7,2021
State,TRIPURA,7,,,638,40.8,15.6,2021
State,UTTAR PRADESH,376,,,36521,2317.0,15.8,2021
State,UTTARAKHAND,89,,,1777,114.4,15.5,2021
State,WEST BENGAL,459,,,15698,982.9,16.0,2021
State,ANDHRA PRADESH,142,,,142,530.3,31.5,2022
State,ARUNACHAL PRADESH,25,,,25,15.5,26.4,2022
State,ASSAM,61,,,61,354.9,14.2,2022
State,BIHAR,953,,,953,1255.3,12.8,2022
State,CHHATTISGARH,248,,,248,299.5,56.4,2022
State,GOA,4,,,4,15.7,44.3,2022
State,GUJARAT,101,,,101,709.3,31.6,2022
State,HARYANA,95,,,95,299.7,53.5,2022
State,HIMACHAL PRADESH,110,,,110,74.4,38.1,2022
State,JHARKHAND,464,,,464,391.4,19.9,2022
State,KARNATAKA,140,,,140,674.1,43.2,2022
State,KERALA,29,,,29,356.8,42.4,2022
State,MADHYA PRADESH,914,,,914,858.9,50.9,2022
State,MAHARASHTRA,445,,,445,1257.4,53.0,2022
State,MANIPUR,65,,,65,32.0,11.0,2022
State,MEGHALAYA,42,,,42,33.3,17.7,2022
State,MIZORAM,6,,,6,12.3,25.9,2022
State,NAGALAND,3,,,3,22.2,2.5,2022
State,ODISHA,2445,,,2445,460.8,45.6,2022
State,PUNJAB,257,,,257,306.0,36.4,2022
State,RAJASTHAN,133,,,133,804.4,32.9,2022
State,SIKKIM,14,,,14,6.8,45.6,2022
State,TAMIL NADU,93,,,93,767.1,38.0,2022
State,TELANGANA,136,,,136,379.5,33.5,2022
State,TRIPURA,12,,,12,41.2,15.4,2022
State,UTTAR PRADESH,667,,,667,2340.9,18.3,2022
State,UTTARAKHAND,90,,,90,115.6,23.1,2022
State,WEST BENGAL,195,,,195,987.6,15.7,2022
